"County","FIPS","Year","Gender","Age Cohort","Variable","Measure Type","Value"
"Fairfield County","09001",2020,"Female","50 to 54 years","Projected Population","Percent",7.62
"Fairfield County","09001",2020,"Female","55 to 59 years","Projected Population","Number",38131
"Fairfield County","09001",2020,"Female","55 to 59 years","Projected Population","Percent",7.88
"Fairfield County","09001",2020,"Female","60 to 64 years","Projected Population","Number",33342
"Fairfield County","09001",2020,"Female","60 to 64 years","Projected Population","Percent",6.89
"Fairfield County","09001",2020,"Female","65 to 69 years","Projected Population","Number",25121
"Fairfield County","09001",2020,"Female","65 to 69 years","Projected Population","Percent",5.19
"Fairfield County","09001",2020,"Female","70 to 74 years","Projected Population","Number",20387
"Fairfield County","09001",2020,"Female","70 to 74 years","Projected Population","Percent",4.21
"Fairfield County","09001",2020,"Female","75 to 79 years","Projected Population","Number",14951
"Fairfield County","09001",2020,"Female","75 to 79 years","Projected Population","Percent",3.09
"Fairfield County","09001",2020,"Female","80 to 84 years","Projected Population","Number",10446
"Fairfield County","09001",2020,"Female","80 to 84 years","Projected Population","Percent",2.16
"Fairfield County","09001",2020,"Female","85 to 89 years","Projected Population","Number",7938
"Fairfield County","09001",2020,"Female","85 to 89 years","Projected Population","Percent",1.64
"Fairfield County","09001",2020,"Female","90 years and Over","Projected Population","Number",7570
"Fairfield County","09001",2020,"Female","90 years and Over","Projected Population","Percent",1.56
"Fairfield County","09001",2020,"Male","Total","Projected Population","Number",460942
"Fairfield County","09001",2020,"Male","Total","Projected Population","Percent",48.79
"Fairfield County","09001",2020,"Male","0 to 4 years","Projected Population","Number",26479
"Fairfield County","09001",2020,"Male","0 to 4 years","Projected Population","Percent",5.74
"Fairfield County","09001",2020,"Male","5 to 9 years","Projected Population","Number",27129
"Fairfield County","09001",2020,"Male","5 to 9 years","Projected Population","Percent",5.89
"Fairfield County","09001",2020,"Male","10 to 14 years","Projected Population","Number",30414
"Fairfield County","09001",2020,"Male","10 to 14 years","Projected Population","Percent",6.6
"Fairfield County","09001",2020,"Male","15 to 19 years","Projected Population","Number",33766
"Fairfield County","09001",2020,"Male","15 to 19 years","Projected Population","Percent",7.33
"Fairfield County","09001",2020,"Male","20 to 24 years","Projected Population","Number",31411
"Fairfield County","09001",2020,"Male","20 to 24 years","Projected Population","Percent",6.81
"Fairfield County","09001",2020,"Male","25 to 29 years","Projected Population","Number",25756
"Fairfield County","09001",2020,"Male","25 to 29 years","Projected Population","Percent",5.59
"Fairfield County","09001",2020,"Male","30 to 34 years","Projected Population","Number",25516
"Fairfield County","09001",2020,"Male","30 to 34 years","Projected Population","Percent",5.54
"Fairfield County","09001",2020,"Male","35 to 39 years","Projected Population","Number",30689
"Fairfield County","09001",2020,"Male","35 to 39 years","Projected Population","Percent",6.66
"Fairfield County","09001",2020,"Male","40 to 44 years","Projected Population","Number",30415
"Fairfield County","09001",2020,"Male","40 to 44 years","Projected Population","Percent",6.6
"Fairfield County","09001",2020,"Male","45 to 49 years","Projected Population","Number",31200
"Fairfield County","09001",2020,"Male","45 to 49 years","Projected Population","Percent",6.77
"Fairfield County","09001",2020,"Male","50 to 54 years","Projected Population","Number",33923
"Fairfield County","09001",2020,"Male","50 to 54 years","Projected Population","Percent",7.36
"Fairfield County","09001",2020,"Male","55 to 59 years","Projected Population","Number",35073
"Fairfield County","09001",2020,"Male","55 to 59 years","Projected Population","Percent",7.61
"Fairfield County","09001",2020,"Male","60 to 64 years","Projected Population","Number",31256
"Fairfield County","09001",2020,"Male","60 to 64 years","Projected Population","Percent",6.78
"Fairfield County","09001",2020,"Male","65 to 69 years","Projected Population","Number",23512
"Fairfield County","09001",2020,"Male","65 to 69 years","Projected Population","Percent",5.1
"Fairfield County","09001",2020,"Male","70 to 74 years","Projected Population","Number",17438
"Fairfield County","09001",2020,"Male","70 to 74 years","Projected Population","Percent",3.78
"Fairfield County","09001",2020,"Male","75 to 79 years","Projected Population","Number",11759
"Fairfield County","09001",2020,"Male","75 to 79 years","Projected Population","Percent",2.55
"Fairfield County","09001",2020,"Male","80 to 84 years","Projected Population","Number",6981
"Fairfield County","09001",2020,"Male","80 to 84 years","Projected Population","Percent",1.51
"Fairfield County","09001",2020,"Male","85 to 89 years","Projected Population","Number",4857
"Fairfield County","09001",2020,"Male","85 to 89 years","Projected Population","Percent",1.05
"Fairfield County","09001",2020,"Male","90 years and Over","Projected Population","Number",3368
"Fairfield County","09001",2020,"Male","90 years and Over","Projected Population","Percent",0.73
"Fairfield County","09001",2025,"All","Total","Projected Population","Number",954479
"Fairfield County","09001",2025,"All","Total","Projected Population","Percent",25.48
"Fairfield County","09001",2025,"All","0 to 4 years","Projected Population","Number",51640
"Fairfield County","09001",2025,"All","0 to 4 years","Projected Population","Percent",5.41
"Fairfield County","09001",2025,"All","5 to 9 years","Projected Population","Number",52722
"Fairfield County","09001",2025,"All","5 to 9 years","Projected Population","Percent",5.52
"Fairfield County","09001",2025,"All","10 to 14 years","Projected Population","Number",54449
"Fairfield County","09001",2025,"All","10 to 14 years","Projected Population","Percent",5.7
"Fairfield County","09001",2025,"All","15 to 19 years","Projected Population","Number",61653
"Fairfield County","09001",2025,"All","15 to 19 years","Projected Population","Percent",6.46
"Fairfield County","09001",2025,"All","20 to 24 years","Projected Population","Number",59122
"Fairfield County","09001",2025,"All","20 to 24 years","Projected Population","Percent",6.19
"Fairfield County","09001",2025,"All","25 to 29 years","Projected Population","Number",56575
"Fairfield County","09001",2025,"All","25 to 29 years","Projected Population","Percent",5.93
"Fairfield County","09001",2025,"All","30 to 34 years","Projected Population","Number",54620
"Fairfield County","09001",2025,"All","30 to 34 years","Projected Population","Percent",5.72
"Fairfield County","09001",2025,"All","35 to 39 years","Projected Population","Number",55668
"Fairfield County","09001",2025,"All","35 to 39 years","Projected Population","Percent",5.83
"Fairfield County","09001",2025,"All","40 to 44 years","Projected Population","Number",65546
"Fairfield County","09001",2025,"All","40 to 44 years","Projected Population","Percent",6.87
"Fairfield County","09001",2025,"All","45 to 49 years","Projected Population","Number",63683
"Fairfield County","09001",2025,"All","45 to 49 years","Projected Population","Percent",6.67
"Fairfield County","09001",2025,"All","50 to 54 years","Projected Population","Number",63399
"Fairfield County","09001",2025,"All","50 to 54 years","Projected Population","Percent",6.64
"Fairfield County","09001",2025,"All","55 to 59 years","Projected Population","Number",68195
"Fairfield County","09001",2025,"All","55 to 59 years","Projected Population","Percent",7.14
"Fairfield County","09001",2025,"All","60 to 64 years","Projected Population","Number",68359
"Fairfield County","09001",2025,"All","60 to 64 years","Projected Population","Percent",7.16
"Fairfield County","09001",2025,"All","65 to 69 years","Projected Population","Number",58580
"Fairfield County","09001",2025,"All","65 to 69 years","Projected Population","Percent",6.14
"Fairfield County","09001",2025,"All","70 to 74 years","Projected Population","Number",42989
"Fairfield County","09001",2025,"All","70 to 74 years","Projected Population","Percent",4.5
"Fairfield County","09001",2025,"All","75 to 79 years","Projected Population","Number",32360
"Fairfield County","09001",2025,"All","75 to 79 years","Projected Population","Percent",3.39
"Fairfield County","09001",2025,"All","80 to 84 years","Projected Population","Number",21378
"Fairfield County","09001",2025,"All","80 to 84 years","Projected Population","Percent",2.24
"Fairfield County","09001",2025,"All","85 to 89 years","Projected Population","Number",12701
"Fairfield County","09001",2025,"All","85 to 89 years","Projected Population","Percent",1.33
"Fairfield County","09001",2025,"All","90 years and Over","Projected Population","Number",10840
"Fairfield County","09001",2025,"All","90 years and Over","Projected Population","Percent",1.14
"Fairfield County","09001",2025,"Female","Total","Projected Population","Number",488310
"Fairfield County","09001",2025,"Female","Total","Projected Population","Percent",51.16
"Fairfield County","09001",2025,"Female","0 to 4 years","Projected Population","Number",25178
"Fairfield County","09001",2025,"Female","0 to 4 years","Projected Population","Percent",5.16
"Fairfield County","09001",2025,"Female","5 to 9 years","Projected Population","Number",25706
"Fairfield County","09001",2025,"Female","5 to 9 years","Projected Population","Percent",5.26
"Fairfield County","09001",2025,"Female","10 to 14 years","Projected Population","Number",26667
"Fairfield County","09001",2025,"Female","10 to 14 years","Projected Population","Percent",5.46
"Fairfield County","09001",2025,"Female","15 to 19 years","Projected Population","Number",30288
"Fairfield County","09001",2025,"Female","15 to 19 years","Projected Population","Percent",6.2
"Fairfield County","09001",2025,"Female","20 to 24 years","Projected Population","Number",29101
"Fairfield County","09001",2025,"Female","20 to 24 years","Projected Population","Percent",5.96
"Fairfield County","09001",2025,"Female","25 to 29 years","Projected Population","Number",27514
"Fairfield County","09001",2025,"Female","25 to 29 years","Projected Population","Percent",5.63
"Fairfield County","09001",2025,"Female","30 to 34 years","Projected Population","Number",26931
"Fairfield County","09001",2025,"Female","30 to 34 years","Projected Population","Percent",5.52
"Fairfield County","09001",2025,"Female","35 to 39 years","Projected Population","Number",27821
"Fairfield County","09001",2025,"Female","35 to 39 years","Projected Population","Percent",5.7
"Fairfield County","09001",2025,"Female","40 to 44 years","Projected Population","Number",33289
"Fairfield County","09001",2025,"Female","40 to 44 years","Projected Population","Percent",6.82
"Fairfield County","09001",2025,"Female","45 to 49 years","Projected Population","Number",32825
"Fairfield County","09001",2025,"Female","45 to 49 years","Projected Population","Percent",6.72
"Fairfield County","09001",2025,"Female","50 to 54 years","Projected Population","Number",32880
"Fairfield County","09001",2025,"Female","50 to 54 years","Projected Population","Percent",6.73
"Fairfield County","09001",2025,"Female","55 to 59 years","Projected Population","Number",35608
"Fairfield County","09001",2025,"Female","55 to 59 years","Projected Population","Percent",7.29
"Fairfield County","09001",2025,"Female","60 to 64 years","Projected Population","Number",35810
"Fairfield County","09001",2025,"Female","60 to 64 years","Projected Population","Percent",7.33
"Fairfield County","09001",2025,"Female","65 to 69 years","Projected Population","Number",30420
"Fairfield County","09001",2025,"Female","65 to 69 years","Projected Population","Percent",6.23
"Fairfield County","09001",2025,"Female","70 to 74 years","Projected Population","Number",22579
"Fairfield County","09001",2025,"Female","70 to 74 years","Projected Population","Percent",4.62
"Fairfield County","09001",2025,"Female","75 to 79 years","Projected Population","Number",17912
"Fairfield County","09001",2025,"Female","75 to 79 years","Projected Population","Percent",3.67
"Fairfield County","09001",2025,"Female","80 to 84 years","Projected Population","Number",12412
"Fairfield County","09001",2025,"Female","80 to 84 years","Projected Population","Percent",2.54
"Fairfield County","09001",2025,"Female","85 to 89 years","Projected Population","Number",7957
"Fairfield County","09001",2025,"Female","85 to 89 years","Projected Population","Percent",1.63
"Fairfield County","09001",2025,"Female","90 years and Over","Projected Population","Number",7412
"Fairfield County","09001",2025,"Female","90 years and Over","Projected Population","Percent",1.52
"Fairfield County","09001",2025,"Male","Total","Projected Population","Number",466169
"Fairfield County","09001",2025,"Male","Total","Projected Population","Percent",48.84
"Fairfield County","09001",2025,"Male","0 to 4 years","Projected Population","Number",26462
"Fairfield County","09001",2025,"Male","0 to 4 years","Projected Population","Percent",5.68
"Fairfield County","09001",2025,"Male","5 to 9 years","Projected Population","Number",27016
"Fairfield County","09001",2025,"Male","5 to 9 years","Projected Population","Percent",5.8
"Fairfield County","09001",2025,"Male","10 to 14 years","Projected Population","Number",27782
"Fairfield County","09001",2025,"Male","10 to 14 years","Projected Population","Percent",5.96
"Fairfield County","09001",2025,"Male","15 to 19 years","Projected Population","Number",31365
"Fairfield County","09001",2025,"Male","15 to 19 years","Projected Population","Percent",6.73
"Fairfield County","09001",2025,"Male","20 to 24 years","Projected Population","Number",30021
"Fairfield County","09001",2025,"Male","20 to 24 years","Projected Population","Percent",6.44
"Fairfield County","09001",2025,"Male","25 to 29 years","Projected Population","Number",29061
"Fairfield County","09001",2025,"Male","25 to 29 years","Projected Population","Percent",6.23
"Fairfield County","09001",2025,"Male","30 to 34 years","Projected Population","Number",27689
"Fairfield County","09001",2025,"Male","30 to 34 years","Projected Population","Percent",5.94
"Fairfield County","09001",2025,"Male","35 to 39 years","Projected Population","Number",27847
"Fairfield County","09001",2025,"Male","35 to 39 years","Projected Population","Percent",5.97
"Fairfield County","09001",2025,"Male","40 to 44 years","Projected Population","Number",32257
"Fairfield County","09001",2025,"Male","40 to 44 years","Projected Population","Percent",6.92
"Fairfield County","09001",2025,"Male","45 to 49 years","Projected Population","Number",30858
"Fairfield County","09001",2025,"Male","45 to 49 years","Projected Population","Percent",6.62
"Fairfield County","09001",2025,"Male","50 to 54 years","Projected Population","Number",30519
"Fairfield County","09001",2025,"Male","50 to 54 years","Projected Population","Percent",6.55
"Fairfield County","09001",2025,"Male","55 to 59 years","Projected Population","Number",32587
"Fairfield County","09001",2025,"Male","55 to 59 years","Projected Population","Percent",6.99
"Fairfield County","09001",2025,"Male","60 to 64 years","Projected Population","Number",32549
"Fairfield County","09001",2025,"Male","60 to 64 years","Projected Population","Percent",6.98
"Fairfield County","09001",2025,"Male","65 to 69 years","Projected Population","Number",28160
"Fairfield County","09001",2025,"Male","65 to 69 years","Projected Population","Percent",6.04
"Fairfield County","09001",2025,"Male","70 to 74 years","Projected Population","Number",20410
"Fairfield County","09001",2025,"Male","70 to 74 years","Projected Population","Percent",4.38
"Fairfield County","09001",2025,"Male","75 to 79 years","Projected Population","Number",14448
"Fairfield County","09001",2025,"Male","75 to 79 years","Projected Population","Percent",3.1
"Fairfield County","09001",2025,"Male","80 to 84 years","Projected Population","Number",8966
"Fairfield County","09001",2025,"Male","80 to 84 years","Projected Population","Percent",1.92
"Fairfield County","09001",2025,"Male","85 to 89 years","Projected Population","Number",4744
"Fairfield County","09001",2025,"Male","85 to 89 years","Projected Population","Percent",1.02
"Fairfield County","09001",2025,"Male","90 years and Over","Projected Population","Number",3428
"Fairfield County","09001",2025,"Male","90 years and Over","Projected Population","Percent",0.74
"Hartford County","09003",2015,"All","Total","Projected Population","Number",910924
"Hartford County","09003",2015,"All","Total","Projected Population","Percent",24.99
"Hartford County","09003",2015,"All","0 to 4 years","Projected Population","Number",49592
"Hartford County","09003",2015,"All","0 to 4 years","Projected Population","Percent",5.44
"Hartford County","09003",2015,"All","5 to 9 years","Projected Population","Number",50921
"Hartford County","09003",2015,"All","5 to 9 years","Projected Population","Percent",5.59
"Hartford County","09003",2015,"All","10 to 14 years","Projected Population","Number",57516
"Hartford County","09003",2015,"All","10 to 14 years","Projected Population","Percent",6.31
"Hartford County","09003",2015,"All","15 to 19 years","Projected Population","Number",65010
"Hartford County","09003",2015,"All","15 to 19 years","Projected Population","Percent",7.14
"Hartford County","09003",2015,"All","20 to 24 years","Projected Population","Number",58444
"Hartford County","09003",2015,"All","20 to 24 years","Projected Population","Percent",6.42
"Hartford County","09003",2015,"All","25 to 29 years","Projected Population","Number",49729
"Hartford County","09003",2015,"All","25 to 29 years","Projected Population","Percent",5.46
"Hartford County","09003",2015,"All","30 to 34 years","Projected Population","Number",59863
"Hartford County","09003",2015,"All","30 to 34 years","Projected Population","Percent",6.57
"Hartford County","09003",2015,"All","35 to 39 years","Projected Population","Number",55913
"Hartford County","09003",2015,"All","35 to 39 years","Projected Population","Percent",6.14
"Hartford County","09003",2015,"All","40 to 44 years","Projected Population","Number",57133
"Hartford County","09003",2015,"All","40 to 44 years","Projected Population","Percent",6.27
"Hartford County","09003",2015,"All","45 to 49 years","Projected Population","Number",63886
"Hartford County","09003",2015,"All","45 to 49 years","Projected Population","Percent",7.01
"Hartford County","09003",2015,"All","50 to 54 years","Projected Population","Number",70587
"Hartford County","09003",2015,"All","50 to 54 years","Projected Population","Percent",7.75
"Hartford County","09003",2015,"All","55 to 59 years","Projected Population","Number",68378
"Hartford County","09003",2015,"All","55 to 59 years","Projected Population","Percent",7.51
"Hartford County","09003",2015,"All","60 to 64 years","Projected Population","Number",57065
"Hartford County","09003",2015,"All","60 to 64 years","Projected Population","Percent",6.26
"Hartford County","09003",2015,"All","65 to 69 years","Projected Population","Number",47195
"Hartford County","09003",2015,"All","65 to 69 years","Projected Population","Percent",5.18
"Hartford County","09003",2015,"All","70 to 74 years","Projected Population","Number",32851
"Hartford County","09003",2015,"All","70 to 74 years","Projected Population","Percent",3.61
"Hartford County","09003",2015,"All","75 to 79 years","Projected Population","Number",23399
"Hartford County","09003",2015,"All","75 to 79 years","Projected Population","Percent",2.57
"Hartford County","09003",2015,"All","80 to 84 years","Projected Population","Number",18808
"Hartford County","09003",2015,"All","80 to 84 years","Projected Population","Percent",2.06
"Hartford County","09003",2015,"All","85 to 89 years","Projected Population","Number",14597
"Hartford County","09003",2015,"All","85 to 89 years","Projected Population","Percent",1.6
"Hartford County","09003",2015,"All","90 years and Over","Projected Population","Number",10037
"Hartford County","09003",2015,"All","90 years and Over","Projected Population","Percent",1.1
"Hartford County","09003",2015,"Female","Total","Projected Population","Number",470165
"Hartford County","09003",2015,"Female","Total","Projected Population","Percent",51.61
"Hartford County","09003",2015,"Female","0 to 4 years","Projected Population","Number",24237
"Hartford County","09003",2015,"Female","0 to 4 years","Projected Population","Percent",5.15
"Hartford County","09003",2015,"Female","5 to 9 years","Projected Population","Number",25157
"Hartford County","09003",2015,"Female","5 to 9 years","Projected Population","Percent",5.35
"Hartford County","09003",2015,"Female","10 to 14 years","Projected Population","Number",28110
"Hartford County","09003",2015,"Female","10 to 14 years","Projected Population","Percent",5.98
"Hartford County","09003",2015,"Female","15 to 19 years","Projected Population","Number",31889
"Hartford County","09003",2015,"Female","15 to 19 years","Projected Population","Percent",6.78
"Hartford County","09003",2015,"Female","20 to 24 years","Projected Population","Number",27594
"Hartford County","09003",2015,"Female","20 to 24 years","Projected Population","Percent",5.87
"Hartford County","09003",2015,"Female","25 to 29 years","Projected Population","Number",24866
"Hartford County","09003",2015,"Female","25 to 29 years","Projected Population","Percent",5.29
"Hartford County","09003",2015,"Female","30 to 34 years","Projected Population","Number",30509
"Hartford County","09003",2015,"Female","30 to 34 years","Projected Population","Percent",6.49
"Hartford County","09003",2015,"Female","35 to 39 years","Projected Population","Number",28426
"Hartford County","09003",2015,"Female","35 to 39 years","Projected Population","Percent",6.05
"Hartford County","09003",2015,"Female","40 to 44 years","Projected Population","Number",29414
"Hartford County","09003",2015,"Female","40 to 44 years","Projected Population","Percent",6.26
"Hartford County","09003",2015,"Female","45 to 49 years","Projected Population","Number",32908
"Hartford County","09003",2015,"Female","45 to 49 years","Projected Population","Percent",7
"Hartford County","09003",2015,"Female","50 to 54 years","Projected Population","Number",36725
"Hartford County","09003",2015,"Female","50 to 54 years","Projected Population","Percent",7.81
"Hartford County","09003",2015,"Female","55 to 59 years","Projected Population","Number",35451
"Hartford County","09003",2015,"Female","55 to 59 years","Projected Population","Percent",7.54
"Hartford County","09003",2015,"Female","60 to 64 years","Projected Population","Number",30018
"Hartford County","09003",2015,"Female","60 to 64 years","Projected Population","Percent",6.38
"Hartford County","09003",2015,"Female","65 to 69 years","Projected Population","Number",25270
"Hartford County","09003",2015,"Female","65 to 69 years","Projected Population","Percent",5.37
"Hartford County","09003",2015,"Female","70 to 74 years","Projected Population","Number",17950
"Hartford County","09003",2015,"Female","70 to 74 years","Projected Population","Percent",3.82
"Hartford County","09003",2015,"Female","75 to 79 years","Projected Population","Number",13412
"Hartford County","09003",2015,"Female","75 to 79 years","Projected Population","Percent",2.85
"Hartford County","09003",2015,"Female","80 to 84 years","Projected Population","Number",11528
"Hartford County","09003",2015,"Female","80 to 84 years","Projected Population","Percent",2.45
"Hartford County","09003",2015,"Female","85 to 89 years","Projected Population","Number",9499
"Hartford County","09003",2015,"Female","85 to 89 years","Projected Population","Percent",2.02
"Hartford County","09003",2015,"Female","90 years and Over","Projected Population","Number",7202
"Hartford County","09003",2015,"Female","90 years and Over","Projected Population","Percent",1.53
"Hartford County","09003",2015,"Male","Total","Projected Population","Number",440759
"Hartford County","09003",2015,"Male","Total","Projected Population","Percent",48.39
"Hartford County","09003",2015,"Male","0 to 4 years","Projected Population","Number",25355
"Hartford County","09003",2015,"Male","0 to 4 years","Projected Population","Percent",5.75
"Hartford County","09003",2015,"Male","5 to 9 years","Projected Population","Number",25764
"Hartford County","09003",2015,"Male","5 to 9 years","Projected Population","Percent",5.85
"Hartford County","09003",2015,"Male","10 to 14 years","Projected Population","Number",29406
"Hartford County","09003",2015,"Male","10 to 14 years","Projected Population","Percent",6.67
"Hartford County","09003",2015,"Male","15 to 19 years","Projected Population","Number",33121
"Hartford County","09003",2015,"Male","15 to 19 years","Projected Population","Percent",7.51
"Hartford County","09003",2015,"Male","20 to 24 years","Projected Population","Number",30850
"Hartford County","09003",2015,"Male","20 to 24 years","Projected Population","Percent",7
"Hartford County","09003",2015,"Male","25 to 29 years","Projected Population","Number",24863
"Hartford County","09003",2015,"Male","25 to 29 years","Projected Population","Percent",5.64
"Hartford County","09003",2015,"Male","30 to 34 years","Projected Population","Number",29354
"Hartford County","09003",2015,"Male","30 to 34 years","Projected Population","Percent",6.66
"Hartford County","09003",2015,"Male","35 to 39 years","Projected Population","Number",27487
"Hartford County","09003",2015,"Male","35 to 39 years","Projected Population","Percent",6.24
"Hartford County","09003",2015,"Male","40 to 44 years","Projected Population","Number",27719
"Hartford County","09003",2015,"Male","40 to 44 years","Projected Population","Percent",6.29
"Hartford County","09003",2015,"Male","45 to 49 years","Projected Population","Number",30978
"Hartford County","09003",2015,"Male","45 to 49 years","Projected Population","Percent",7.03
"Hartford County","09003",2015,"Male","50 to 54 years","Projected Population","Number",33862
"Hartford County","09003",2015,"Male","50 to 54 years","Projected Population","Percent",7.68
"Hartford County","09003",2015,"Male","55 to 59 years","Projected Population","Number",32927
"Hartford County","09003",2015,"Male","55 to 59 years","Projected Population","Percent",7.47
"Hartford County","09003",2015,"Male","60 to 64 years","Projected Population","Number",27047
"Hartford County","09003",2015,"Male","60 to 64 years","Projected Population","Percent",6.14
"Hartford County","09003",2015,"Male","65 to 69 years","Projected Population","Number",21925
"Hartford County","09003",2015,"Male","65 to 69 years","Projected Population","Percent",4.97
"Hartford County","09003",2015,"Male","70 to 74 years","Projected Population","Number",14901
"Hartford County","09003",2015,"Male","70 to 74 years","Projected Population","Percent",3.38
"Hartford County","09003",2015,"Male","75 to 79 years","Projected Population","Number",9987
"Hartford County","09003",2015,"Male","75 to 79 years","Projected Population","Percent",2.27
"Hartford County","09003",2015,"Male","80 to 84 years","Projected Population","Number",7280
"Hartford County","09003",2015,"Male","80 to 84 years","Projected Population","Percent",1.65
"Hartford County","09003",2015,"Male","85 to 89 years","Projected Population","Number",5098
"Hartford County","09003",2015,"Male","85 to 89 years","Projected Population","Percent",1.16
"Hartford County","09003",2015,"Male","90 years and Over","Projected Population","Number",2835
"Hartford County","09003",2015,"Male","90 years and Over","Projected Population","Percent",0.64
"Hartford County","09003",2020,"All","Total","Projected Population","Number",925492
"Hartford County","09003",2020,"All","Total","Projected Population","Percent",25
"Hartford County","09003",2020,"All","0 to 4 years","Projected Population","Number",50018
"Hartford County","09003",2020,"All","0 to 4 years","Projected Population","Percent",5.4
"Hartford County","09003",2020,"All","5 to 9 years","Projected Population","Number",49823
"Hartford County","09003",2020,"All","5 to 9 years","Projected Population","Percent",5.38
"Hartford County","09003",2020,"All","10 to 14 years","Projected Population","Number",52984
"Hartford County","09003",2020,"All","10 to 14 years","Projected Population","Percent",5.72
"Hartford County","09003",2020,"All","15 to 19 years","Projected Population","Number",62794
"Hartford County","09003",2020,"All","15 to 19 years","Projected Population","Percent",6.78
"Hartford County","09003",2020,"All","20 to 24 years","Projected Population","Number",61755
"Hartford County","09003",2020,"All","20 to 24 years","Projected Population","Percent",6.67
"Hartford County","09003",2020,"All","25 to 29 years","Projected Population","Number",52452
"Hartford County","09003",2020,"All","25 to 29 years","Projected Population","Percent",5.67
"Hartford County","09003",2020,"All","30 to 34 years","Projected Population","Number",52931
"Hartford County","09003",2020,"All","30 to 34 years","Projected Population","Percent",5.72
"Hartford County","09003",2020,"All","35 to 39 years","Projected Population","Number",62744
"Hartford County","09003",2020,"All","35 to 39 years","Projected Population","Percent",6.78
"Hartford County","09003",2020,"All","40 to 44 years","Projected Population","Number",57663
"Hartford County","09003",2020,"All","40 to 44 years","Projected Population","Percent",6.23
"Hartford County","09003",2020,"All","45 to 49 years","Projected Population","Number",57686
"Hartford County","09003",2020,"All","45 to 49 years","Projected Population","Percent",6.23
"Hartford County","09003",2020,"All","50 to 54 years","Projected Population","Number",63345
"Hartford County","09003",2020,"All","50 to 54 years","Projected Population","Percent",6.84
"Hartford County","09003",2020,"All","55 to 59 years","Projected Population","Number",68945
"Hartford County","09003",2020,"All","55 to 59 years","Projected Population","Percent",7.45
"Hartford County","09003",2020,"All","60 to 64 years","Projected Population","Number",65359
"Hartford County","09003",2020,"All","60 to 64 years","Projected Population","Percent",7.06
"Hartford County","09003",2020,"All","65 to 69 years","Projected Population","Number",52848
"Hartford County","09003",2020,"All","65 to 69 years","Projected Population","Percent",5.71
"Hartford County","09003",2020,"All","70 to 74 years","Projected Population","Number",42407
"Hartford County","09003",2020,"All","70 to 74 years","Projected Population","Percent",4.58
"Hartford County","09003",2020,"All","75 to 79 years","Projected Population","Number",28632
"Hartford County","09003",2020,"All","75 to 79 years","Projected Population","Percent",3.09
"Hartford County","09003",2020,"All","80 to 84 years","Projected Population","Number",18918
"Hartford County","09003",2020,"All","80 to 84 years","Projected Population","Percent",2.04
"Hartford County","09003",2020,"All","85 to 89 years","Projected Population","Number",13476
"Hartford County","09003",2020,"All","85 to 89 years","Projected Population","Percent",1.46
"Hartford County","09003",2020,"All","90 years and Over","Projected Population","Number",10712
"Hartford County","09003",2020,"All","90 years and Over","Projected Population","Percent",1.16
"Hartford County","09003",2020,"Female","Total","Projected Population","Number",477295
"Hartford County","09003",2020,"Female","Total","Projected Population","Percent",51.57
"Hartford County","09003",2020,"Female","0 to 4 years","Projected Population","Number",24445
"Hartford County","09003",2020,"Female","0 to 4 years","Projected Population","Percent",5.12
"Hartford County","09003",2020,"Female","5 to 9 years","Projected Population","Number",24318
"Hartford County","09003",2020,"Female","5 to 9 years","Projected Population","Percent",5.09
"Hartford County","09003",2020,"Female","10 to 14 years","Projected Population","Number",26244
"Hartford County","09003",2020,"Female","10 to 14 years","Projected Population","Percent",5.5
"Hartford County","09003",2020,"Female","15 to 19 years","Projected Population","Number",30706
"Hartford County","09003",2020,"Female","15 to 19 years","Projected Population","Percent",6.43
"Hartford County","09003",2020,"Female","20 to 24 years","Projected Population","Number",29707
"Hartford County","09003",2020,"Female","20 to 24 years","Projected Population","Percent",6.22
"Hartford County","09003",2020,"Female","25 to 29 years","Projected Population","Number",25117
"Hartford County","09003",2020,"Female","25 to 29 years","Projected Population","Percent",5.26
"Hartford County","09003",2020,"Female","30 to 34 years","Projected Population","Number",27047
"Hartford County","09003",2020,"Female","30 to 34 years","Projected Population","Percent",5.67
"Hartford County","09003",2020,"Female","35 to 39 years","Projected Population","Number",32149
"Hartford County","09003",2020,"Female","35 to 39 years","Projected Population","Percent",6.74
"Hartford County","09003",2020,"Female","40 to 44 years","Projected Population","Number",29493
"Hartford County","09003",2020,"Female","40 to 44 years","Projected Population","Percent",6.18
"Hartford County","09003",2020,"Female","45 to 49 years","Projected Population","Number",29892
"Hartford County","09003",2020,"Female","45 to 49 years","Projected Population","Percent",6.26
"Hartford County","09003",2020,"Female","50 to 54 years","Projected Population","Number",32886
"Hartford County","09003",2020,"Female","50 to 54 years","Projected Population","Percent",6.89
"Hartford County","09003",2020,"Female","55 to 59 years","Projected Population","Number",36135
"Hartford County","09003",2020,"Female","55 to 59 years","Projected Population","Percent",7.57
"Hartford County","09003",2020,"Female","60 to 64 years","Projected Population","Number",34234
"Hartford County","09003",2020,"Female","60 to 64 years","Projected Population","Percent",7.17
"Hartford County","09003",2020,"Female","65 to 69 years","Projected Population","Number",28064
"Hartford County","09003",2020,"Female","65 to 69 years","Projected Population","Percent",5.88
"Hartford County","09003",2020,"Female","70 to 74 years","Projected Population","Number",23135
